,Unnamed: 0,agent_id,timeStamp_posix,latitude_deg,longitude_deg,speed_ms,heading_rad,heading_deg,accel_ms2,agent_type
2933,2933,3,1597257928.98735,45.566825172399994,8.048311753,10.255253,4.920015780691322,281.896139371375,0.003809,car
2934,2934,3,1597257929.07831,45.566826809700004,8.048298555599999,10.280181,4.92020083016554,281.906741925249,0.024928000000001,car
2935,2935,3,1597257929.14836,45.5668284641,8.0482852674,10.363324,4.921763754846441,281.996290913162,0.083143,car
2936,2936,3,1597257929.23211,45.5668300948,8.0482719713,10.37554,4.9222033267244685,282.021476526566,0.012216,car
2937,2937,3,1597257929.3166,45.566831735600005,8.048258756900001,10.317584,4.92558080435006,282.214991739912,-0.057956000000001,car
2938,2938,3,1597257929.4534302,45.5668333639,8.048245611,10.261939,4.92815126495922,282.362268284221,-0.055645000000000014,car
2939,2939,3,1597257929.50977,45.5668349772,8.0482324278,10.286788,4.92782087264464,282.343338199012,0.024849,car
2940,2940,3,1597257929.60441,45.5668365874,8.0482191613,10.357646,4.92701572484215,282.297206628045,0.07085800000000099,car
2941,2941,3,1597257929.73056,45.566838169499995,8.0482058672,10.383051,4.92648239878,282.26664929558,0.025404999999999,car
2942,2942,3,1597257929.80632,45.5668397218,8.0481925823,10.381697,4.92542656685749,282.206154582545,-0.0013539999999989995,car
2943,2943,3,1597257929.97299,45.5668412748,8.0481793162,10.364825,4.9265685363814296,282.271584616599,-0.016872000000001,car
2944,2944,3,1597257930.04002,45.56684281720001,8.0481660431,10.364148,4.92717524315734,282.306346354261,-0.000677,car
2945,2945,3,1597257930.11638,45.5668443539,8.0481527584,10.382036,4.92739088250804,282.31870157895304,0.017887999999999002,car
2946,2946,3,1597257930.1875901,45.5668458837,8.0481394221,10.396445,4.92787588170378,282.346489985936,0.014409000000001,car
2947,2947,3,1597257930.33694,45.56684741260001,8.0481260268,10.430763,4.92676329550667,282.282743492497,0.034318000000001,car
2948,2948,3,1597257930.3979,45.566848925900004,8.0481125631,10.46314,4.925698465217018,282.221733211002,0.032376999999999,car
2949,2949,3,1597257930.50316,45.566850431800006,8.0480990612,10.479181,4.9241954614014105,282.135617435776,0.016041000000001002,car
2950,2950,3,1597257930.58897,45.566851924,8.048085504,10.505443,4.9226845210033705,282.049046927872,0.026261999999999,car
2951,2951,3,1597257930.71152,45.566853376000005,8.0480720558,10.517354,4.92069319841723,281.934952548038,0.011911,car
2952,2952,3,1597257930.81616,45.566854828900006,8.0480585826,10.535737,4.92022739298515,281.908263862705,0.018383,car
2953,2953,3,1597257930.9707,45.566856255299996,8.0480451311,10.511642,4.918572119318379,281.81342366766,-0.024094999999999,car
2954,2954,3,1597257931.01478,45.5668576651,8.0480317041,10.480845,4.91850437910206,281.809542439161,-0.030797,car
2955,2955,3,1597257931.11845,45.5668590724,8.0480181526,10.595395,4.916244422611009,281.680056470341,0.114549999999999,car
2956,2956,3,1597257931.216,45.5668604576,8.048004561,10.6372,4.91667996544326,281.705011236426,0.041805,car
2957,2957,3,1597257931.30875,45.566861878999994,8.047990954400001,10.649867,4.9200786463168615,281.899741306395,0.012667,car
2958,2958,3,1597257931.38762,45.5668633329,8.0479774336,10.582271,4.927224524579451,282.309169971756,-0.067596,car
